name,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,Kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM FacilitiesS Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Kolej Delima 2 (Pusat Kokurikulum),0.576,0.367,0.436,0.333,0.379,0.637,0.762,0.649,0.169,0.084,0,1.067,0.813,0.244,0.237,0.292,0.512,0.469,0.784,0.663,0.265,0.651,0.575,0.189,0.75,0.428,0.52,0.545,0.55,0.593,0.938,0.234,0.308,0.09,0.159,0.171,0.167,0.097,0.177,0.348,0.452,0.893,0.841,0.741,0.761,0.714,0.665,0.719,0.748,0.675,0.686,0.593,0.608,0.549,0.663,0.669,0.658,1.106,0.845,0.832,0.717,0.679,0.719,0.422,0.418,0.571,0.709,0.498,0.553,0.495,0.563,0.69,0.589,0.177,0.482,0.716,0.799,0.617,0.483
Faculty of Art and Design,1.314,1.135,1.249,1.277,1.438,0.445,0.488,0.418,0.902,1.017,1.067,0,0.257,1.027,1.263,1.359,1.579,1.535,1.765,0.723,1.315,1.629,1.584,0.973,0.439,0.682,0.713,0.72,1.502,1.473,0.324,1.218,0.785,0.986,1.16,1.234,1.06,1.108,1.112,0.873,1.468,0.195,0.24,0.328,0.333,0.367,0.407,0.35,0.323,0.399,0.395,0.478,0.461,0.519,0.443,0.427,0.427,0.076,0.259,0.318,0.419,0.48,0.507,0.835,0.983,1.328,1.624,1.496,1.544,1.481,1.543,1.742,1.628,1.227,1.315,0.394,1.814,0.541,0.729
Perpustakaan Tun Abdul Razak 1,1.107,0.912,1.027,1.04,1.182,0.19,0.367,0.164,0.65,0.767,0.813,0.257,0,0.792,1.016,1.105,1.325,1.282,1.51,0.571,1.065,1.374,1.328,0.731,0.242,0.45,0.516,0.531,1.269,1.25,0.32,0.962,0.528,0.735,0.913,0.981,0.817,0.859,0.868,0.649,1.225,0.137,0.107,0.093,0.156,0.154,0.171,0.094,0.067,0.143,0.14,0.221,0.205,0.268,0.242,0.219,0.206,0.293,0.088,0.155,0.195,0.254,0.306,0.589,0.739,1.086,1.374,1.24,1.288,1.226,1.288,1.485,1.372,0.977,1.066,0.212,1.558,0.35,0.486
Taska UiTM Shah Alam,0.378,0.152,0.257,0.251,0.542,0.65,0.632,0.634,0.224,0.17,0.244,1.027,0.792,0,0.27,0.421,0.629,0.569,0.987,0.474,0.338,0.862,0.774,0.088,0.803,0.345,0.361,0.376,0.477,0.468,0.83,0.471,0.408,0.196,0.183,0.305,0.084,0.179,0.115,0.167,0.448,0.836,0.788,0.705,0.696,0.66,0.624,0.703,0.735,0.672,0.69,0.593,0.604,0.53,0.587,0.601,0.6,1.079,0.846,0.855,0.754,0.734,0.792,0.585,0.627,0.815,0.936,0.708,0.762,0.711,0.776,0.844,0.763,0.272,0.726,0.64,0.983,0.508,0.609
Dewan Platinum Kolej Melati,0.424,0.286,0.289,0.136,0.295,0.851,0.898,0.852,0.37,0.252,0.237,1.263,1.016,0.27,0,0.166,0.36,0.299,0.75,0.744,0.07,0.637,0.541,0.295,0.978,0.589,0.63,0.646,0.317,0.379,1.091,0.339,0.539,0.289,0.102,0.108,0.208,0.16,0.159,0.435,0.217,1.079,1.028,0.936,0.941,0.899,0.856,0.923,0.953,0.883,0.897,0.801,0.815,0.748,0.835,0.845,0.84,1.308,1.057,1.052,0.94,0.907,0.951,0.657,0.635,0.7,0.734,0.49,0.541,0.501,0.56,0.58,0.511,0.07,0.597,0.889,0.732,0.766,0.72
Dewan Mawar Qaseh,0.574,0.452,0.446,0.288,0.129,0.929,1.03,0.942,0.458,0.347,0.292,1.359,1.105,0.421,0.166,0,0.222,0.177,0.585,0.894,0.1,0.474,0.376,0.423,1.034,0.706,0.77,0.789,0.39,0.486,1.216,0.257,0.594,0.374,0.237,0.128,0.346,0.265,0.305,0.578,0.245,1.183,1.131,1.032,1.049,1.003,0.956,1.011,1.04,0.967,0.977,0.885,0.901,0.84,0.948,0.955,0.946,1.398,1.136,1.121,1.005,0.963,0.997,0.665,0.606,0.589,0.577,0.331,0.38,0.344,0.4,0.424,0.347,0.149,0.484,1.002,0.567,0.891,0.746
Unit Bengkel Kenderaan UiTM Shah Alam,0.695,0.631,0.592,0.442,0.164,1.146,1.249,1.161,0.679,0.569,0.512,1.579,1.325,0.629,0.36,0.222,0,0.067,0.462,1.103,0.291,0.393,0.296,0.641,1.242,0.927,0.986,1.003,0.427,0.547,1.437,0.416,0.807,0.596,0.45,0.349,0.56,0.485,0.516,0.792,0.287,1.404,1.352,1.253,1.271,1.225,1.177,1.231,1.259,1.185,1.195,1.104,1.12,1.061,1.169,1.177,1.168,1.616,1.353,1.335,1.217,1.173,1.202,0.855,0.771,0.658,0.526,0.308,0.331,0.334,0.356,0.232,0.211,0.366,0.56,1.223,0.409,1.112,0.945
"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",0.629,0.565,0.525,0.376,0.162,1.106,1.193,1.118,0.633,0.52,0.469,1.535,1.282,0.569,0.299,0.177,0.067,0,0.523,1.042,0.232,0.445,0.345,0.586,1.21,0.876,0.928,0.944,0.366,0.486,1.384,0.402,0.771,0.549,0.393,0.301,0.503,0.433,0.457,0.734,0.223,1.357,1.305,1.208,1.222,1.177,1.131,1.188,1.217,1.143,1.154,1.062,1.077,1.016,1.119,1.128,1.12,1.574,1.313,1.298,1.181,1.139,1.172,0.832,0.759,0.676,0.573,0.344,0.374,0.367,0.398,0.299,0.27,0.313,0.575,1.173,0.474,1.058,0.918
Akademi Pengajian Bahasa,1.143,1.037,1.025,0.867,0.455,1.321,1.538,1.36,0.94,0.864,0.784,1.765,1.51,0.987,0.75,0.585,0.462,0.523,0,1.444,0.683,0.137,0.212,0.964,1.36,1.202,1.304,1.328,0.889,1.009,1.699,0.567,0.99,0.873,0.807,0.683,0.905,0.811,0.875,1.126,0.745,1.618,1.567,1.46,1.502,1.45,1.396,1.421,1.444,1.368,1.371,1.297,1.314,1.275,1.418,1.418,1.401,1.784,1.512,1.473,1.357,1.301,1.303,0.94,0.803,0.507,0.189,0.286,0.232,0.292,0.226,0.272,0.253,0.72,0.47,1.468,0.112,1.39,1.046
Pintu Seksyen 2,0.627,0.507,0.603,0.692,1.012,0.548,0.237,0.483,0.524,0.581,0.663,0.723,0.571,0.474,0.744,0.894,1.103,1.042,1.444,0,0.812,1.314,1.234,0.481,0.724,0.307,0.155,0.124,0.877,0.814,0.435,0.892,0.586,0.577,0.657,0.774,0.549,0.638,0.589,0.319,0.897,0.535,0.505,0.483,0.419,0.42,0.427,0.523,0.548,0.531,0.555,0.493,0.49,0.432,0.335,0.359,0.38,0.793,0.655,0.705,0.659,0.679,0.754,0.775,0.891,1.18,1.369,1.159,1.214,1.158,1.225,1.318,1.233,0.745,1.112,0.36,1.451,0.232,0.728
