name,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,Kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM FacilitiesS Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Hotel UiTM Shah Alam,1.056,0.908,1.015,1.075,1.316,0.451,0.206,0.382,0.77,0.87,0.938,0.324,0.32,0.83,1.091,1.216,1.437,1.384,1.699,0.435,1.153,1.563,1.501,0.798,0.56,0.51,0.475,0.47,1.283,1.235,0,1.133,0.718,0.848,0.992,1.088,0.883,0.952,0.932,0.663,1.277,0.196,0.213,0.294,0.218,0.27,0.324,0.355,0.353,0.403,0.417,0.44,0.424,0.436,0.282,0.284,0.304,0.4,0.398,0.472,0.506,0.559,0.62,0.84,0.987,1.327,1.585,1.416,1.469,1.407,1.473,1.627,1.525,1.071,1.289,0.234,1.729,0.326,0.749
Kompleks Sukan UiTM Shah Alam,0.753,0.572,0.613,0.472,0.253,0.774,0.972,0.805,0.375,0.317,0.234,1.218,0.962,0.471,0.339,0.257,0.416,0.402,0.567,0.892,0.312,0.432,0.37,0.423,0.846,0.636,0.746,0.772,0.634,0.714,1.133,0,0.434,0.316,0.327,0.23,0.388,0.296,0.379,0.581,0.498,1.061,1.009,0.903,0.939,0.888,0.835,0.869,0.895,0.819,0.824,0.743,0.76,0.714,0.852,0.853,0.837,1.246,0.975,0.947,0.829,0.779,0.799,0.442,0.357,0.363,0.477,0.283,0.336,0.275,0.342,0.528,0.411,0.272,0.264,0.903,0.6,0.823,0.538
Kolej Perindu,0.786,0.56,0.662,0.608,0.657,0.342,0.585,0.371,0.187,0.294,0.308,0.785,0.528,0.408,0.539,0.594,0.807,0.771,0.99,0.586,0.573,0.854,0.802,0.32,0.442,0.28,0.432,0.464,0.838,0.859,0.718,0.434,0,0.254,0.446,0.478,0.384,0.382,0.427,0.37,0.757,0.629,0.577,0.47,0.513,0.46,0.406,0.436,0.462,0.386,0.392,0.309,0.326,0.286,0.437,0.434,0.415,0.815,0.547,0.528,0.411,0.371,0.412,0.199,0.305,0.619,0.868,0.714,0.764,0.701,0.765,0.957,0.843,0.485,0.572,0.484,1.032,0.437,0.201
Pusat Kokurikulum,0.562,0.34,0.428,0.355,0.467,0.564,0.672,0.571,0.084,0.04,0.09,0.986,0.735,0.196,0.289,0.374,0.596,0.549,0.873,0.577,0.331,0.74,0.665,0.12,0.69,0.339,0.432,0.457,0.584,0.611,0.848,0.316,0.254,0,0.192,0.248,0.141,0.129,0.176,0.266,0.506,0.809,0.757,0.659,0.675,0.629,0.582,0.641,0.671,0.599,0.611,0.516,0.531,0.468,0.575,0.582,0.572,1.028,0.771,0.764,0.651,0.618,0.664,0.404,0.432,0.632,0.793,0.586,0.641,0.583,0.651,0.779,0.679,0.243,0.551,0.629,0.889,0.527,0.446
Ibu Pejabat Polis Bantuan UiTM,0.431,0.247,0.29,0.174,0.359,0.751,0.8,0.75,0.271,0.153,0.159,1.16,0.913,0.183,0.102,0.237,0.45,0.393,0.807,0.657,0.161,0.686,0.595,0.194,0.881,0.487,0.536,0.553,0.395,0.435,0.992,0.327,0.446,0.192,0,0.124,0.11,0.065,0.068,0.342,0.315,0.976,0.926,0.833,0.839,0.797,0.754,0.821,0.851,0.782,0.796,0.699,0.713,0.646,0.733,0.743,0.738,1.206,0.956,0.953,0.842,0.81,0.856,0.579,0.575,0.689,0.769,0.533,0.587,0.538,0.602,0.661,0.58,0.089,0.591,0.787,0.8,0.667,0.633
Kolej Teratai 2,0.527,0.365,0.388,0.242,0.239,0.807,0.903,0.817,0.332,0.22,0.171,1.234,0.981,0.305,0.108,0.128,0.349,0.301,0.683,0.774,0.101,0.561,0.471,0.297,0.92,0.578,0.645,0.665,0.417,0.487,1.088,0.23,0.478,0.248,0.124,0,0.225,0.138,0.192,0.455,0.297,1.056,1.005,0.907,0.922,0.876,0.829,0.887,0.917,0.844,0.855,0.762,0.777,0.715,0.82,0.828,0.819,1.274,1.015,1.003,0.888,0.849,0.887,0.572,0.536,0.592,0.647,0.409,0.462,0.415,0.479,0.547,0.46,0.044,0.491,0.874,0.679,0.764,0.644
Kolej Teratai,0.421,0.203,0.287,0.23,0.464,0.663,0.691,0.655,0.197,0.105,0.167,1.06,0.817,0.084,0.208,0.346,0.56,0.503,0.905,0.549,0.271,0.779,0.692,0.088,0.804,0.382,0.425,0.444,0.462,0.476,0.883,0.388,0.384,0.141,0.11,0.225,0,0.095,0.051,0.232,0.408,0.874,0.824,0.734,0.735,0.695,0.654,0.726,0.757,0.69,0.706,0.608,0.621,0.55,0.628,0.639,0.635,1.109,0.865,0.867,0.76,0.733,0.786,0.544,0.569,0.737,0.852,0.624,0.679,0.627,0.693,0.769,0.685,0.196,0.646,0.682,0.904,0.558,0.581
Kolej Teratai 3,0.481,0.279,0.34,0.238,0.376,0.692,0.765,0.695,0.211,0.093,0.097,1.108,0.859,0.179,0.16,0.265,0.485,0.433,0.811,0.638,0.207,0.684,0.599,0.159,0.819,0.443,0.507,0.528,0.46,0.498,0.952,0.296,0.382,0.129,0.065,0.138,0.095,0,0.085,0.319,0.376,0.927,0.876,0.781,0.791,0.747,0.702,0.766,0.796,0.725,0.739,0.643,0.657,0.591,0.687,0.696,0.689,1.152,0.898,0.893,0.781,0.747,0.793,0.514,0.515,0.651,0.757,0.529,0.584,0.532,0.598,0.685,0.595,0.12,0.557,0.741,0.813,0.627,0.568
Kolej Delima 2 (PB),0.399,0.194,0.26,0.182,0.428,0.713,0.738,0.706,0.242,0.137,0.177,1.112,0.868,0.115,0.159,0.305,0.516,0.457,0.875,0.589,0.225,0.752,0.662,0.139,0.852,0.433,0.471,0.488,0.415,0.435,0.932,0.379,0.427,0.176,0.068,0.192,0.051,0.085,0,0.277,0.357,0.925,0.875,0.785,0.786,0.746,0.705,0.777,0.808,0.741,0.756,0.659,0.672,0.601,0.679,0.69,0.687,1.16,0.915,0.917,0.809,0.781,0.832,0.578,0.592,0.736,0.832,0.598,0.653,0.603,0.668,0.729,0.649,0.157,0.641,0.733,0.869,0.608,0.621
UiTM Facilities Center,0.467,0.264,0.379,0.413,0.694,0.529,0.465,0.499,0.235,0.264,0.348,0.873,0.649,0.167,0.435,0.578,0.792,0.734,1.126,0.319,0.501,0.996,0.915,0.162,0.696,0.201,0.195,0.211,0.63,0.602,0.663,0.581,0.37,0.266,0.342,0.455,0.232,0.319,0.277,0,0.614,0.68,0.633,0.558,0.54,0.508,0.478,0.565,0.597,0.542,0.562,0.468,0.476,0.4,0.43,0.446,0.449,0.929,0.711,0.73,0.64,0.631,0.697,0.568,0.647,0.893,1.057,0.841,0.897,0.841,0.908,1.001,0.914,0.429,0.815,0.481,1.131,0.344,0.561
Faculty of Civil Engineering,0.412,0.393,0.326,0.205,0.333,1.065,1.077,1.063,0.586,0.468,0.452,1.468,1.225,0.448,0.217,0.245,0.287,0.223,0.745,0.897,0.197,0.661,0.56,0.496,1.195,0.788,0.805,0.815,0.151,0.264,1.277,0.498,0.757,0.506,0.315,0.297,0.408,0.376,0.357,0.614,0,1.281,1.231,1.142,1.141,1.102,1.062,1.133,1.164,1.096,1.11,1.013,1.027,0.958,1.033,1.045,1.043,1.517,1.27,1.268,1.157,1.124,1.168,0.868,0.831,0.833,0.783,0.542,0.581,0.561,0.605,0.515,0.492,0.276,0.728,1.086,0.695,0.956,0.935
Dewan Sri Budiman,1.119,0.941,1.055,1.087,1.269,0.309,0.305,0.259,0.725,0.838,0.893,0.195,0.137,0.836,1.079,1.183,1.404,1.357,1.618,0.535,1.133,1.482,1.43,0.786,0.378,0.493,0.518,0.526,1.31,1.278,0.196,1.061,0.629,0.809,0.976,1.056,0.874,0.927,0.925,0.68,1.281,0,0.052,0.159,0.14,0.18,0.228,0.204,0.189,0.258,0.264,0.322,0.304,0.348,0.25,0.236,0.239,0.26,0.205,0.28,0.332,0.39,0.443,0.713,0.863,1.209,1.489,1.342,1.393,1.33,1.394,1.577,1.467,1.047,1.183,0.2,1.66,0.346,0.612
Dewan Annexe,1.077,0.896,1.009,1.038,1.216,0.262,0.283,0.208,0.673,0.786,0.841,0.24,0.107,0.788,1.028,1.131,1.352,1.305,1.567,0.505,1.082,1.43,1.378,0.736,0.348,0.443,0.477,0.486,1.262,1.233,0.213,1.009,0.577,0.757,0.926,1.005,0.824,0.876,0.875,0.633,1.231,0.052,0,0.107,0.094,0.129,0.176,0.157,0.147,0.211,0.219,0.271,0.254,0.295,0.204,0.187,0.188,0.299,0.189,0.261,0.296,0.352,0.409,0.665,0.815,1.161,1.438,1.29,1.341,1.278,1.342,1.524,1.415,0.996,1.133,0.156,1.608,0.304,0.566
Menara Sultan Abdul Aziz Shah,1.015,0.822,0.937,0.954,1.114,0.159,0.292,0.1,0.575,0.69,0.741,0.328,0.093,0.705,0.936,1.032,1.253,1.208,1.46,0.483,0.987,1.323,1.272,0.647,0.279,0.361,0.423,0.439,1.181,1.16,0.294,0.903,0.47,0.659,0.833,0.907,0.734,0.781,0.785,0.558,1.142,0.159,0.107,0,0.086,0.063,0.081,0.061,0.071,0.109,0.123,0.164,0.146,0.192,0.15,0.127,0.113,0.375,0.173,0.226,0.219,0.267,0.332,0.56,0.709,1.054,1.331,1.184,1.234,1.172,1.236,1.421,1.31,0.9,1.026,0.127,1.502,0.258,0.462
Bahagian Pembangunan Organisasi,0.983,0.802,0.915,0.947,1.138,0.235,0.211,0.164,0.592,0.702,0.761,0.333,0.156,0.696,0.941,1.049,1.271,1.222,1.502,0.419,0.996,1.365,1.308,0.647,0.365,0.353,0.383,0.393,1.169,1.139,0.218,0.939,0.513,0.675,0.839,0.922,0.735,0.791,0.786,0.54,1.141,0.14,0.094,0.086,0,0.053,0.109,0.147,0.156,0.189,0.206,0.223,0.206,0.227,0.11,0.096,0.103,0.393,0.244,0.306,0.305,0.351,0.418,0.623,0.771,1.113,1.38,1.222,1.274,1.211,1.276,1.448,1.341,0.911,1.079,0.062,1.538,0.21,0.531
Jabatan Sain Ukur dan Geomatik,0.96,0.772,0.886,0.911,1.09,0.187,0.234,0.114,0.546,0.658,0.714,0.367,0.154,0.66,0.899,1.003,1.225,1.177,1.45,0.42,0.953,1.313,1.257,0.607,0.332,0.315,0.364,0.378,1.135,1.11,0.27,0.888,0.46,0.629,0.797,0.876,0.695,0.747,0.746,0.508,1.102,0.18,0.129,0.063,0.053,0,0.055,0.112,0.131,0.145,0.165,0.17,0.154,0.174,0.088,0.066,0.06,0.421,0.236,0.288,0.268,0.31,0.38,0.57,0.718,1.06,1.327,1.171,1.222,1.16,1.225,1.399,1.291,0.867,1.026,0.067,1.488,0.196,0.479
DKB,0.937,0.742,0.857,0.873,1.041,0.143,0.267,0.068,0.498,0.612,0.665,0.407,0.171,0.624,0.856,0.956,1.177,1.131,1.396,0.427,0.909,1.259,1.204,0.566,0.304,0.28,0.351,0.369,1.101,1.08,0.324,0.835,0.406,0.582,0.754,0.829,0.654,0.702,0.705,0.478,1.062,0.228,0.176,0.081,0.109,0.055,0,0.098,0.126,0.109,0.132,0.117,0.101,0.121,0.095,0.072,0.047,0.455,0.241,0.28,0.239,0.272,0.345,0.516,0.663,1.005,1.272,1.117,1.168,1.106,1.171,1.349,1.239,0.821,0.971,0.104,1.435,0.195,0.425
Block A Faculty of Applied Science,1.028,0.828,0.943,0.95,1.088,0.105,0.347,0.071,0.557,0.674,0.719,0.35,0.094,0.703,0.923,1.011,1.231,1.188,1.421,0.523,0.971,1.285,1.237,0.64,0.22,0.365,0.448,0.467,1.18,1.165,0.355,0.869,0.436,0.641,0.821,0.887,0.726,0.766,0.777,0.565,1.133,0.204,0.157,0.061,0.147,0.112,0.098,0,0.031,0.054,0.063,0.128,0.111,0.176,0.189,0.165,0.143,0.387,0.146,0.182,0.158,0.205,0.272,0.509,0.659,1.005,1.287,1.148,1.198,1.135,1.198,1.392,1.279,0.883,0.981,0.179,1.467,0.293,0.409
Block A Faculty Of Applied Sciences,1.059,0.859,0.974,0.981,1.116,0.124,0.363,0.101,0.586,0.704,0.748,0.323,0.067,0.735,0.953,1.04,1.259,1.217,1.444,0.548,1.001,1.308,1.262,0.671,0.21,0.396,0.476,0.495,1.211,1.196,0.353,0.895,0.462,0.671,0.851,0.917,0.757,0.796,0.808,0.597,1.164,0.189,0.147,0.071,0.156,0.131,0.126,0.031,0,0.076,0.076,0.156,0.14,0.207,0.213,0.189,0.169,0.357,0.116,0.158,0.153,0.206,0.267,0.526,0.676,1.023,1.308,1.173,1.222,1.159,1.222,1.419,1.305,0.913,1.001,0.197,1.491,0.319,0.424
DK Beta,1.008,0.802,0.917,0.917,1.04,0.051,0.374,0.049,0.515,0.633,0.675,0.399,0.143,0.672,0.883,0.967,1.185,1.143,1.368,0.531,0.93,1.232,1.185,0.605,0.195,0.342,0.441,0.463,1.148,1.137,0.403,0.819,0.386,0.599,0.782,0.844,0.69,0.725,0.741,0.542,1.096,0.258,0.211,0.109,0.189,0.145,0.109,0.054,0.076,0,0.024,0.083,0.069,0.143,0.204,0.182,0.156,0.432,0.174,0.19,0.13,0.165,0.237,0.455,0.605,0.951,1.234,1.097,1.146,1.083,1.146,1.343,1.229,0.841,0.927,0.208,1.415,0.299,0.355
DK Alfa,1.029,0.822,0.936,0.933,1.049,0.05,0.396,0.072,0.528,0.646,0.686,0.395,0.14,0.69,0.897,0.977,1.195,1.154,1.371,0.555,0.943,1.235,1.19,0.621,0.171,0.362,0.464,0.487,1.165,1.156,0.417,0.824,0.392,0.611,0.796,0.855,0.706,0.739,0.756,0.562,1.11,0.264,0.219,0.123,0.206,0.165,0.132,0.063,0.076,0.024,0,0.098,0.087,0.163,0.227,0.205,0.179,0.423,0.16,0.168,0.106,0.145,0.215,0.451,0.601,0.947,1.233,1.101,1.149,1.087,1.149,1.35,1.235,0.854,0.926,0.229,1.419,0.323,0.349
DK Delta,0.934,0.725,0.84,0.835,0.96,0.062,0.371,0.064,0.432,0.55,0.593,0.478,0.221,0.593,0.801,0.885,1.104,1.062,1.297,0.493,0.847,1.16,1.11,0.523,0.239,0.27,0.385,0.411,1.067,1.059,0.44,0.743,0.309,0.516,0.699,0.762,0.608,0.643,0.659,0.468,1.013,0.322,0.271,0.164,0.223,0.17,0.117,0.128,0.156,0.083,0.098,0,0.018,0.07,0.194,0.177,0.15,0.513,0.257,0.264,0.177,0.187,0.261,0.401,0.549,0.892,1.167,1.022,1.072,1.009,1.073,1.264,1.151,0.759,0.862,0.219,1.34,0.266,0.309
DK Gamma & DK Bestari,0.942,0.735,0.849,0.848,0.977,0.059,0.36,0.046,0.447,0.565,0.608,0.461,0.205,0.604,0.815,0.901,1.12,1.077,1.314,0.49,0.862,1.178,1.128,0.536,0.238,0.276,0.386,0.411,1.079,1.069,0.424,0.76,0.326,0.531,0.713,0.777,0.621,0.657,0.672,0.476,1.027,0.304,0.254,0.146,0.206,0.154,0.101,0.111,0.14,0.069,0.087,0.018,0,0.076,0.183,0.165,0.137,0.497,0.243,0.255,0.174,0.19,0.265,0.418,0.566,0.91,1.184,1.04,1.09,1.027,1.09,1.281,1.169,0.774,0.88,0.205,1.358,0.26,0.325
Block F Faculty Of Applied Sciences,0.866,0.659,0.774,0.775,0.922,0.132,0.335,0.105,0.383,0.499,0.549,0.519,0.268,0.53,0.748,0.84,1.061,1.016,1.275,0.432,0.797,1.139,1.084,0.464,0.308,0.2,0.317,0.344,1.006,0.994,0.436,0.714,0.286,0.468,0.646,0.715,0.55,0.591,0.601,0.4,0.958,0.348,0.295,0.192,0.227,0.174,0.121,0.176,0.207,0.143,0.163,0.07,0.076,0,0.164,0.154,0.131,0.561,0.316,0.331,0.247,0.252,0.326,0.411,0.554,0.892,1.153,0.997,1.048,0.985,1.05,1.229,1.119,0.709,0.854,0.203,1.314,0.212,0.331
irmi,0.875,0.692,0.805,0.838,1.041,0.233,0.177,0.16,0.494,0.601,0.663,0.443,0.242,0.587,0.835,0.948,1.169,1.119,1.418,0.335,0.892,1.281,1.22,0.541,0.399,0.246,0.277,0.29,1.06,1.029,0.282,0.852,0.437,0.575,0.733,0.82,0.628,0.687,0.679,0.43,1.033,0.25,0.204,0.15,0.11,0.088,0.095,0.189,0.213,0.204,0.227,0.194,0.183,0.164,0,0.024,0.049,0.502,0.322,0.37,0.334,0.365,0.439,0.574,0.717,1.051,1.304,1.135,1.188,1.126,1.192,1.353,1.248,0.807,1.009,0.054,1.45,0.108,0.493
Malaysian Institut Transport,0.894,0.709,0.823,0.852,1.047,0.213,0.196,0.139,0.5,0.608,0.669,0.427,0.219,0.601,0.845,0.955,1.177,1.128,1.418,0.359,0.901,1.281,1.222,0.552,0.376,0.257,0.298,0.312,1.075,1.046,0.284,0.853,0.434,0.582,0.743,0.828,0.639,0.696,0.69,0.446,1.045,0.236,0.187,0.127,0.096,0.066,0.072,0.165,0.189,0.182,0.205,0.177,0.165,0.154,0.024,0,0.028,0.484,0.299,0.346,0.311,0.344,0.417,0.564,0.709,1.045,1.301,1.136,1.189,1.127,1.192,1.357,1.251,0.816,1.005,0.05,1.452,0.131,0.48
MITRAN,0.903,0.712,0.827,0.851,1.035,0.185,0.224,0.111,0.489,0.6,0.658,0.427,0.206,0.6,0.84,0.946,1.168,1.12,1.401,0.38,0.895,1.265,1.207,0.548,0.35,0.255,0.31,0.327,1.076,1.051,0.304,0.837,0.415,0.572,0.738,0.819,0.635,0.689,0.687,0.449,1.043,0.239,0.188,0.113,0.103,0.06,0.047,0.143,0.169,0.156,0.179,0.15,0.137,0.131,0.049,0.028,0,0.48,0.282,0.325,0.285,0.317,0.39,0.54,0.685,1.023,1.282,1.121,1.173,1.11,1.176,1.345,1.238,0.809,0.984,0.072,1.437,0.15,0.454
National Design Centre,1.377,1.193,1.307,1.329,1.472,0.473,0.559,0.457,0.943,1.06,1.106,0.076,0.293,1.079,1.308,1.398,1.616,1.574,1.784,0.793,1.358,1.649,1.609,1.021,0.437,0.735,0.776,0.785,1.556,1.531,0.4,1.246,0.815,1.028,1.206,1.274,1.109,1.152,1.16,0.929,1.517,0.26,0.299,0.375,0.393,0.421,0.455,0.387,0.357,0.432,0.423,0.513,0.497,0.561,0.502,0.484,0.48,0,0.272,0.317,0.428,0.487,0.503,0.848,0.993,1.336,1.638,1.52,1.567,1.505,1.565,1.772,1.657,1.27,1.328,0.455,1.837,0.603,0.741
Budisiswa,1.174,0.973,1.088,1.091,1.205,0.207,0.455,0.213,0.687,0.806,0.845,0.259,0.088,0.846,1.057,1.136,1.353,1.313,1.512,0.655,1.102,1.377,1.337,0.779,0.186,0.51,0.591,0.609,1.322,1.31,0.398,0.975,0.547,0.771,0.956,1.015,0.865,0.898,0.915,0.711,1.27,0.205,0.189,0.173,0.244,0.236,0.241,0.146,0.116,0.174,0.16,0.257,0.243,0.316,0.322,0.299,0.282,0.272,0,0.075,0.16,0.221,0.253,0.578,0.725,1.069,1.368,1.248,1.295,1.233,1.293,1.503,1.387,1.014,1.058,0.297,1.565,0.43,0.471
Bangunan HEP,1.197,0.989,1.104,1.095,1.183,0.205,0.516,0.236,0.682,0.8,0.832,0.318,0.155,0.855,1.052,1.121,1.335,1.298,1.473,0.705,1.094,1.339,1.303,0.784,0.121,0.531,0.627,0.648,1.328,1.323,0.472,0.947,0.528,0.764,0.953,1.003,0.867,0.893,0.917,0.73,1.268,0.28,0.261,0.226,0.306,0.288,0.28,0.182,0.158,0.19,0.168,0.264,0.255,0.331,0.37,0.346,0.325,0.317,0.075,0,0.118,0.172,0.188,0.534,0.677,1.019,1.323,1.214,1.26,1.198,1.256,1.476,1.358,1.005,1.013,0.353,1.53,0.475,0.427
Faculty of Business,1.106,0.893,1.006,0.989,1.065,0.115,0.502,0.176,0.571,0.689,0.717,0.419,0.195,0.754,0.94,1.005,1.217,1.181,1.357,0.659,0.98,1.223,1.186,0.679,0.065,0.445,0.561,0.585,1.222,1.222,0.506,0.829,0.411,0.651,0.842,0.888,0.76,0.781,0.809,0.64,1.157,0.332,0.296,0.219,0.305,0.268,0.239,0.158,0.153,0.13,0.106,0.177,0.174,0.247,0.334,0.311,0.285,0.428,0.16,0.118,0,0.061,0.114,0.42,0.566,0.91,1.21,1.097,1.142,1.08,1.139,1.357,1.239,0.891,0.9,0.334,1.413,0.427,0.312
"Instititut Leadership, Quality",1.094,0.876,0.989,0.962,1.018,0.133,0.539,0.205,0.54,0.656,0.679,0.48,0.254,0.734,0.907,0.963,1.173,1.139,1.301,0.679,0.943,1.167,1.132,0.655,0.072,0.442,0.57,0.596,1.195,1.201,0.559,0.779,0.371,0.618,0.81,0.849,0.733,0.747,0.781,0.631,1.124,0.39,0.352,0.267,0.351,0.31,0.272,0.205,0.206,0.165,0.145,0.187,0.19,0.252,0.365,0.344,0.317,0.487,0.221,0.172,0.061,0,0.075,0.362,0.506,0.85,1.151,1.043,1.088,1.026,1.084,1.307,1.188,0.855,0.841,0.373,1.359,0.45,0.255
Ayub Arshad Graduate Business School,1.157,0.937,1.048,1.014,1.044,0.207,0.611,0.279,0.59,0.703,0.719,0.507,0.306,0.792,0.951,0.997,1.202,1.172,1.303,0.754,0.984,1.172,1.143,0.711,0.068,0.512,0.643,0.67,1.246,1.258,0.62,0.799,0.412,0.664,0.856,0.887,0.786,0.793,0.832,0.697,1.168,0.443,0.409,0.332,0.418,0.38,0.345,0.272,0.267,0.237,0.215,0.261,0.265,0.326,0.439,0.417,0.39,0.503,0.253,0.188,0.114,0.075,0,0.366,0.501,0.837,1.147,1.054,1.097,1.036,1.091,1.325,1.205,0.896,0.838,0.445,1.366,0.525,0.262
Gym Sport Recreation,0.962,0.736,0.831,0.751,0.693,0.404,0.741,0.462,0.361,0.442,0.422,0.835,0.589,0.585,0.657,0.665,0.855,0.832,0.94,0.775,0.673,0.807,0.778,0.497,0.421,0.469,0.624,0.657,0.972,1.011,0.84,0.442,0.199,0.404,0.579,0.572,0.544,0.514,0.578,0.568,0.868,0.713,0.665,0.56,0.623,0.57,0.516,0.509,0.526,0.455,0.451,0.401,0.418,0.411,0.574,0.564,0.54,0.848,0.578,0.534,0.42,0.362,0.366,0,0.15,0.496,0.79,0.689,0.731,0.67,0.726,0.963,0.841,0.592,0.48,0.612,1.001,0.601,0.107
Dewan Agung Tuanku Canselor,0.99,0.771,0.852,0.748,0.608,0.554,0.879,0.611,0.418,0.464,0.418,0.983,0.739,0.627,0.635,0.606,0.771,0.759,0.803,0.891,0.635,0.674,0.655,0.544,0.561,0.585,0.736,0.768,0.951,1.008,0.987,0.357,0.305,0.432,0.575,0.536,0.569,0.515,0.592,0.647,0.831,0.863,0.815,0.709,0.771,0.718,0.663,0.659,0.676,0.605,0.601,0.549,0.566,0.554,0.717,0.709,0.685,0.993,0.725,0.677,0.566,0.506,0.501,0.15,0,0.346,0.646,0.568,0.605,0.547,0.597,0.851,0.728,0.566,0.337,0.757,0.872,0.735,0.254
MTDC,1.117,0.93,0.976,0.835,0.517,0.9,1.204,0.955,0.661,0.648,0.571,1.328,1.086,0.815,0.7,0.589,0.658,0.676,0.507,1.18,0.664,0.399,0.426,0.751,0.9,0.887,1.025,1.056,0.979,1.069,1.327,0.363,0.619,0.632,0.689,0.592,0.737,0.651,0.736,0.893,0.833,1.209,1.161,1.054,1.113,1.06,1.005,1.005,1.023,0.951,0.947,0.892,0.91,0.892,1.051,1.045,1.023,1.336,1.069,1.019,0.91,0.85,0.837,0.496,0.346,0,0.326,0.363,0.372,0.336,0.353,0.641,0.526,0.635,0.105,1.095,0.598,1.056,0.6
Surau FSPU,1.151,1.012,1.022,0.864,0.456,1.184,1.438,1.23,0.849,0.793,0.709,1.624,1.374,0.936,0.734,0.577,0.526,0.573,0.189,1.369,0.675,0.138,0.23,0.897,1.207,1.105,1.222,1.249,0.934,1.046,1.585,0.477,0.868,0.793,0.769,0.647,0.852,0.757,0.832,1.057,0.783,1.489,1.438,1.331,1.38,1.327,1.272,1.287,1.308,1.234,1.233,1.167,1.184,1.153,1.304,1.301,1.282,1.638,1.368,1.323,1.21,1.151,1.147,0.79,0.646,0.326,0,0.246,0.203,0.234,0.179,0.402,0.325,0.689,0.31,1.352,0.294,1.288,0.897
AB1,0.905,0.772,0.777,0.619,0.211,1.051,1.252,1.085,0.654,0.579,0.498,1.496,1.24,0.708,0.49,0.331,0.308,0.344,0.286,1.159,0.43,0.155,0.089,0.679,1.107,0.917,1.018,1.042,0.693,0.803,1.416,0.283,0.714,0.586,0.533,0.409,0.624,0.529,0.598,0.841,0.542,1.342,1.29,1.184,1.222,1.171,1.117,1.148,1.173,1.097,1.101,1.022,1.04,0.997,1.135,1.136,1.121,1.52,1.248,1.214,1.097,1.043,1.054,0.689,0.568,0.363,0.246,0,0.055,0.027,0.07,0.289,0.167,0.449,0.278,1.186,0.318,1.104,0.793
AB3,0.952,0.824,0.826,0.667,0.255,1.099,1.307,1.135,0.708,0.634,0.553,1.544,1.288,0.762,0.541,0.38,0.331,0.374,0.232,1.214,0.479,0.1,0.055,0.734,1.151,0.971,1.073,1.097,0.731,0.844,1.469,0.336,0.764,0.641,0.587,0.462,0.679,0.584,0.653,0.897,0.581,1.393,1.341,1.234,1.274,1.222,1.168,1.198,1.222,1.146,1.149,1.072,1.09,1.048,1.188,1.189,1.173,1.567,1.295,1.26,1.142,1.088,1.097,0.731,0.605,0.372,0.203,0.055,0,0.063,0.025,0.269,0.156,0.502,0.298,1.239,0.271,1.158,0.836
